timestamp,cpu_usage_percent,memory_usage_gb,storage_io_ops,network_bandwidth_mbps,energy_consumption_kwh,response_time_ms,throughput_req_sec,service_availability,hour_of_day,day_of_week,month,is_business_hours,is_weekend,region_id,region_name,base_carbon_intensity,renewable_energy_pct,effective_carbon_intensity,carbon_emissions_kg_co2
2024-01-01 00:00:00,29.82,23.06,103,24.63,0.4499,192.9,416.0,99.923,0,0,1,False,False,2,Southeast,0.65,0.07,0.6045,0.271947
2024-01-01 01:00:00,37.83,32.86,332,1.0,0.6336,126.02,405.0,99.918,1,0,1,False,False,4,Southwest,0.45,0.3,0.315,0.19957
2024-01-01 02:00:00,61.29,34.28,673,17.05,0.6794,144.23,404.0,99.894,2,0,1,False,False,4,Southwest,0.45,0.3,0.315,0.214005
2024-01-01 03:00:00,34.96,31.62,798,8.37,0.6119,112.99,431.0,99.956,3,0,1,False,False,5,West,0.25,0.4,0.15,0.091781
2024-01-01 04:00:00,43.42,27.88,101,15.54,0.5936,185.56,381.0,99.777,4,0,1,False,False,3,Midwest,0.55,0.15,0.4675,0.277507
2024-01-01 05:00:00,42.12,28.93,536,2.9,0.5256,156.1,381.0,99.986,5,0,1,False,False,2,Southeast,0.65,0.07,0.6045,0.317738
2024-01-01 06:00:00,55.16,24.23,674,15.01,0.5408,152.45,435.0,99.737,6,0,1,False,False,5,West,0.25,0.4,0.15,0.081125
2024-01-01 07:00:00,41.49,26.82,324,10.88,0.5133,159.06,435.0,99.715,7,0,1,False,False,3,Midwest,0.55,0.15,0.4675,0.239966
2024-01-01 08:00:00,61.52,40.59,615,18.32,0.7261,132.71,411.0,99.77,8,0,1,False,False,4,Southwest,0.45,0.3,0.315,0.228724
2024-01-01 09:00:00,80.76,42.91,732,7.62,0.7625,174.91,354.0,99.655,9,0,1,True,False,1,Northeast,0.35,0.2,0.28,0.213499
2024-01-01 10:00:00,77.81,41.52,248,20.22,0.7653,191.71,324.0,99.854,10,0,1,True,False,1,Northeast,0.35,0.2,0.2744,0.209989
2024-01-01 11:00:00,67.86,40.33,569,10.21,0.7485,176.89,390.0,99.715,11,0,1,True,False,5,West,0.25,0.4,0.144,0.107778
2024-01-01 12:00:00,74.16,40.25,646,12.8,0.6584,175.25,446.0,99.798,12,0,1,True,False,1,Northeast,0.35,0.2,0.2744,0.180654
2024-01-01 13:00:00,63.9,34.79,685,17.01,0.6417,114.79,323.0,99.914,13,0,1,True,False,3,Midwest,0.55,0.15,0.4605,0.295474
2024-01-01 14:00:00,69.43,33.95,148,25.58,0.6957,158.55,314.0,99.992,14,0,1,True,False,1,Northeast,0.35,0.2,0.2744,0.190896
2024-01-01 15:00:00,50.01,28.46,634,19.44,0.6155,134.96,409.0,99.996,15,0,1,True,False,4,Southwest,0.45,0.3,0.3055,0.188066
2024-01-01 16:00:00,79.93,45.6,644,14.32,0.7448,160.72,321.0,99.869,16,0,1,True,False,3,Midwest,0.55,0.15,0.4605,0.342976
2024-01-01 17:00:00,79.02,39.04,363,67.41,0.7574,190.04,269.0,99.649,17,0,1,True,False,5,West,0.25,0.4,0.15,0.113607
2024-01-01 18:00:00,48.33,29.03,227,3.77,0.5935,130.09,362.0,99.806,18,0,1,False,False,5,West,0.25,0.4,0.15,0.089018
2024-01-01 19:00:00,57.29,37.11,732,1.94,0.596,155.24,324.0,99.915,19,0,1,False,False,5,West,0.25,0.4,0.15,0.089405
2024-01-01 20:00:00,70.97,32.04,755,5.37,0.6647,174.5,336.0,99.924,20,0,1,False,False,1,Northeast,0.35,0.2,0.28,0.186111
2024-01-01 21:00:00,36.64,31.76,215,1.44,0.5925,119.83,403.0,99.847,21,0,1,False,False,2,Southeast,0.65,0.07,0.6045,0.358195
2024-01-01 22:00:00,48.19,27.18,168,3.42,0.5886,147.79,441.0,99.814,22,0,1,False,False,1,Northeast,0.35,0.2,0.28,0.164801
2024-01-01 23:00:00,54.83,36.89,779,21.22,0.6859,156.62,469.0,99.895,23,0,1,False,False,5,West,0.25,0.4,0.15,0.102885
